CountryCode,Region,IncomeGroup,TableName,2017,2018,2019,2020
ABW,Latin America & Caribbean,High income,Aruba,3092430167.5977697,3202188606.9289303,,
AFG,South Asia,Low income,Afghanistan,18869945678.4215,18353881129.5246,19291104007.6135,19807067268.1084
AGO,Sub-Saharan Africa,Lower middle income,Angola,122123822333.59,101353230784.59401,89417190341.2533,62306913444.2917
ALB,Europe & Central Asia,Upper middle income,Albania,13019693450.8816,15147020535.3869,15286612572.6895,14799615097.1008
AND,Europe & Central Asia,High income,Andorra,3000180750.11297,3218316013.22626,3155065487.51819,
ARE,Middle East & North Africa,High income,United Arab Emirates,385605506848.19604,422215043594.28204,421142267937.372,
ARG,Latin America & Caribbean,Upper middle income,Argentina,643628665302.155,517626700412.885,445445177459.45294,383066977653.56
ARM,Europe & Central Asia,Upper middle income,Armenia,11527458565.7334,12457941907.0333,13672802157.8324,12645459213.5235
ASM,East Asia & Pacific,Upper middle income,American Samoa,612000000.0,641000000.0,638000000.0,
ATG,Latin America & Caribbean,High income,Antigua and Barbuda,1467977777.77778,1605351851.85185,1661962962.96296,1415059259.25926
AUS,East Asia & Pacific,High income,Australia,1329188475752.32,1432881172002.17,1396567014733.23,1330900925056.98
AUT,Europe & Central Asia,High income,Austria,416207272209.53796,454872626780.005,445075391688.156,428965397959.456
AZE,Europe & Central Asia,Upper middle income,Azerbaijan,40865558912.3867,47112941176.4706,48174235294.1176,42607176470.5882
BDI,Sub-Saharan Africa,Low income,Burundi,3172292379.36329,3036937141.27062,3012308945.62671,3258187232.63159
BEL,Europe & Central Asia,High income,Belgium,501522868356.44104,543410654016.60205,533254518108.234,515332499627.861
BEN,Sub-Saharan Africa,Lower middle income,Benin,12701655845.9612,14250987026.0533,14391686309.033,15651545208.8783
BFA,Sub-Saharan Africa,Low income,Burkina Faso,14106956830.0857,16059910870.6239,15990803569.9961,17369059295.2226
BGD,South Asia,Lower middle income,Bangladesh,249710922462.309,274038973437.275,302563398919.928,324239176765.053
BGR,Europe & Central Asia,Upper middle income,Bulgaria,58971520599.2509,66230155099.5775,68558815111.6199,69105101089.5531
BHR,Middle East & North Africa,High income,Bahrain,35473776595.7447,37652500000.0,38474521276.5957,
BHS,Latin America & Caribbean,High income,"Bahamas, The",12490700000.0,13022100000.0,13578800000.0,11250000000.0
BIH,Europe & Central Asia,Upper middle income,Bosnia and Herzegovina,18080118128.3854,20183510561.2553,20202479537.5193,19788422248.1072
BLR,Europe & Central Asia,Upper middle income,Belarus,54726595249.1849,60031262269.3365,64409647193.8044,60258239055.5829
BLZ,Latin America & Caribbean,Lower middle income,Belize,1858529676.71857,1915899786.9640698,1982518540.6134,1763696118.9519
BMU,North America,High income,Bermuda,7142316000.0,7224329000.0,7484113000.0,
BOL,Latin America & Caribbean,Lower middle income,Bolivia,37508642170.767,40287647930.5355,40895322850.9407,36688861202.6049
BRA,Latin America & Caribbean,Upper middle income,Brazil,2063507864886.88,1916947014067.55,1877810514260.36,1444733258971.65
BRB,Latin America & Caribbean,High income,Barbados,4978000000.0,5086500000.0,5209000000.0,4365500000.0
BRN,East Asia & Pacific,High income,Brunei Darussalam,12128104859.1498,13567351175.0315,13469422941.3919,12016056665.3473
BTN,South Asia,Lower middle income,Bhutan,2450364928.07302,2446866404.93058,2530547157.56678,2409262838.21987
BWA,Sub-Saharan Africa,Upper middle income,Botswana,17405588070.4332,18663265549.0196,18362348887.5873,15781732825.8934
CAF,Sub-Saharan Africa,Low income,Central African Republic,2072349974.15257,2220979144.52018,2220307318.7488604,2303078337.5743103
CAN,North America,High income,Canada,1649265644244.09,1721853332869.63,1741576393905.98,1643407977068.93
CHE,Europe & Central Asia,High income,Switzerland,704478516963.855,735889205256.251,731474367940.4291,747968636174.0079
CHI,Europe & Central Asia,High income,Channel Islands,,,,
CHL,Latin America & Caribbean,High income,Chile,277034675515.671,297571693064.212,279385487344.526,252940023046.01102
CHN,East Asia & Pacific,Upper middle income,China,12310409370894.2,13894817549380.3,14279937467431.0,14722730697890.1
CIV,Sub-Saharan Africa,Lower middle income,Côte d'Ivoire,51588158717.5348,58011466450.8643,58539424929.7248,61348579465.1017
CMR,Sub-Saharan Africa,Lower middle income,Cameroon,35009262788.15,38694156862.9922,39007354359.2798,39802147568.2174
COD,Sub-Saharan Africa,Low income,"Congo, Dem. Rep.",38019265625.8845,46831342212.5473,50400746171.4239,49868970641.1062
COG,Sub-Saharan Africa,Lower middle income,"Congo, Rep.",11109029840.2479,13642740884.1356,12693562947.7856,10884686142.6442
COL,Latin America & Caribbean,Upper middle income,Colombia,311883730690.12897,334198214706.209,323429888934.257,271346896626.418
COM,Sub-Saharan Africa,Lower middle income,Comoros,1077439756.12221,1178530633.81547,1165839899.80269,1219690024.5028698
CPV,Sub-Saharan Africa,Lower middle income,Cabo Verde,1769787215.42141,1966983316.32593,1981845740.70615,1703698676.69742
CRI,Latin America & Caribbean,Upper middle income,Costa Rica,60516043590.1832,62335931464.4979,63951114302.2599,61520669890.4037
CUB,Latin America & Caribbean,Upper middle income,Cuba,96851000000.0,100050000000.0,103131000000.0,
CUW,Latin America & Caribbean,High income,Curaçao,3116610111.7318397,3127908044.69274,3101787709.49721,
CYM,Latin America & Caribbean,High income,Cayman Islands,5166467298.69195,5522625585.0234,5935769350.77403,
CYP,Europe & Central Asia,High income,Cyprus,22729184365.1152,25309818138.8758,24949065263.6292,23804340376.9275
CZE,Europe & Central Asia,High income,Czech Republic,218628940951.675,248950103352.137,250686478649.064,243530379896.81302
DEU,Europe & Central Asia,High income,Germany,3673506280844.4,3961831911429.22,3861123558039.21,3806060140124.52
DJI,Middle East & North Africa,Lower middle income,Djibouti,2751461055.59307,3012820409.63313,3324634256.1332397,3384404260.07202
DMA,Latin America & Caribbean,Upper middle income,Dominica,519837037.037037,551074074.074074,574607407.407407,469870370.37037003
DNK,Europe & Central Asia,High income,Denmark,332121063806.391,356879499797.896,350104327658.675,355184024841.25397
DOM,Latin America & Caribbean,Upper middle income,Dominican Republic,79997975621.8654,85555378042.8196,88941299733.5018,78844702329.0785
DZA,Middle East & North Africa,Lower middle income,Algeria,170097230857.956,175414987760.927,171157803367.47302,145163902228.168
ECU,Latin America & Caribbean,Upper middle income,Ecuador,104295862000.0,107562008000.0,108108009000.0,98808010000.0
EGY,Middle East & North Africa,Lower middle income,"Egypt, Arab Rep.",235733695652.17398,249712999437.254,303080865603.645,363069245165.315
ERI,Sub-Saharan Africa,Low income,Eritrea,,,,
ESP,Europe & Central Asia,High income,Spain,1309297246509.31,1421459363680.67,1393490524517.64,1281199091016.35
EST,Europe & Central Asia,High income,Estonia,26885077004.7802,30616184212.1592,31471100656.2431,31029968591.2779
ETH,Sub-Saharan Africa,Low income,Ethiopia,81770791970.982,84269348327.3454,95912590628.1412,107645054311.87599
FIN,Europe & Central Asia,High income,Finland,255016517537.983,275849574507.692,268966065200.0,271233883403.892
FJI,East Asia & Pacific,Upper middle income,Fiji,5353404422.08138,5581393120.62853,5496250694.31587,4376014755.57615
FRA,Europe & Central Asia,High income,France,2588740901639.81,2786502569559.77,2715518274227.45,2603004395901.95
FRO,Europe & Central Asia,High income,Faroe Islands,2899226097.6237698,3051341335.9516,3126293219.77989,
FSM,East Asia & Pacific,Lower middle income,"Micronesia, Fed. Sts.",366666800.0,401932300.0,408060600.0,
GAB,Sub-Saharan Africa,Upper middle income,Gabon,14929488770.7315,16862282413.8778,16874450215.1351,15593181270.9135
GBR,Europe & Central Asia,High income,United Kingdom,2662484018735.82,2857316524862.61,2830813507746.87,2707743777173.91
GEO,Europe & Central Asia,Upper middle income,Georgia,16242916915.7203,17599700090.762,17477255562.2583,15891688903.1843
GHA,Sub-Saharan Africa,Lower middle income,Ghana,58845211998.3455,65315955122.8077,67234292582.7606,72354428864.9032
GIB,Europe & Central Asia,High income,Gibraltar,,,,
GIN,Sub-Saharan Africa,Low income,Guinea,10324668266.595,11857030336.5274,13513809258.2083,15681050917.1588
GMB,Sub-Saharan Africa,Low income,"Gambia, The",1504909753.2874599,1670670668.5939,1826073739.8252199,1901930157.6452801
GNB,Sub-Saharan Africa,Low income,Guinea-Bissau,1350177127.5523,1504630120.99275,1439638443.38133,1431758242.90375
GNQ,Sub-Saharan Africa,Upper middle income,Equatorial Guinea,12200913887.6419,13097012189.3995,11417278044.9859,10021856754.4944
GRC,Europe & Central Asia,High income,Greece,199630819054.302,212146107548.996,205326724570.227,189410106620.01602
GRD,Latin America & Caribbean,Upper middle income,Grenada,1125685185.18519,1168696296.2963,1211403703.7037,1089203703.7037
GRL,Europe & Central Asia,High income,Greenland,2826651925.6690197,3051626389.63671,,
GTM,Latin America & Caribbean,Upper middle income,Guatemala,71654134378.5299,73208583758.9105,77020015201.3201,77604632170.5853
GUM,East Asia & Pacific,High income,Guam,6013000000.0,6051000000.0,6311000000.0,
GUY,Latin America & Caribbean,Upper middle income,Guyana,4748174334.19019,4787635821.46116,5173759527.50705,5471256594.72422
HKG,East Asia & Pacific,High income,"Hong Kong SAR, China",341244161576.759,361691522612.745,363016373358.517,346585881503.635
HND,Latin America & Caribbean,Lower middle income,Honduras,23136232229.6069,24067778953.842003,25089976946.7736,23827840809.7014
HRV,Europe & Central Asia,High income,Croatia,55481644098.0495,61375222347.0256,60752588976.3175,55966581780.1688
HTI,Latin America & Caribbean,Lower middle income,Haiti,14213814582.7938,15965670198.4548,14332163266.3977,13417997065.1099
HUN,Europe & Central Asia,High income,Hungary,142961605733.026,160431092908.646,163503650313.081,155012927629.087
IDN,East Asia & Pacific,Lower middle income,Indonesia,1015618742565.81,1042271531011.99,1119091259074.62,1058423838345.14
IMN,Europe & Central Asia,High income,Isle of Man,6979581724.58172,7491969312.87525,,
IND,South Asia,Lower middle income,India,2651472946375.05,2701111782774.57,2870504096717.48,2622983732006.45
IRL,Europe & Central Asia,High income,Ireland,338503196943.167,385967106117.099,398590210120.33704,418621818482.305
IRN,Middle East & North Africa,Lower middle income,"Iran, Islamic Rep.",445345256459.105,294356680624.658,258245497664.39398,191718271483.75897
IRQ,Middle East & North Africa,Upper middle income,Iraq,190643898226.351,212271807144.367,222434137055.838,167224432560.319
ISL,Europe & Central Asia,High income,Iceland,24728285177.4603,26224228693.3954,24836714771.4638,21714670569.6033
ISR,Middle East & North Africa,High income,Israel,352667925811.02795,370455651179.95795,394652208893.13794,401953804837.08704
ITA,Europe & Central Asia,High income,Italy,1956950469673.29,2091117091124.1,2004913357800.0,1886445268340.71
JAM,Latin America & Caribbean,Upper middle income,Jamaica,14808989993.3185,15730793852.7913,15830768549.8916,13812421803.4084
JOR,Middle East & North Africa,Upper middle income,Jordan,41408960845.0704,42932112676.0563,44502895915.493,43697659275.3137
JPN,East Asia & Pacific,High income,Japan,4866864409657.68,4954806619995.19,5064872875604.59,
KAZ,Europe & Central Asia,Upper middle income,Kazakhstan,166805800595.704,179339994859.38397,181667190075.54102,169835426427.153
KEN,Sub-Saharan Africa,Lower middle income,Kenya,78965004656.1823,87778582964.1388,95503088538.092,98842939649.1149
KGZ,Europe & Central Asia,Lower middle income,Kyrgyz Republic,7702934800.12836,8271106196.04265,8871019822.767029,7735976612.641629
KHM,East Asia & Pacific,Lower middle income,Cambodia,22177200511.5882,24571753583.503998,27089389786.9684,25291251427.3979
KIR,East Asia & Pacific,Lower middle income,Kiribati,187276210.91355,196737895.99521798,194647201.946472,199573325.99270502
KNA,Latin America & Caribbean,High income,St. Kitts and Nevis,996944444.444444,1010822222.22222,1044711111.11111,927451851.8518519
KOR,East Asia & Pacific,High income,"Korea, Rep.",1623901496835.79,1724845615629.26,1646739219509.89,1630525005469.11
KWT,Middle East & North Africa,High income,Kuwait,120707435412.358,138182400493.585,136196760180.976,
LAO,East Asia & Pacific,Lower middle income,Lao PDR,16853087485.4118,17953786416.1431,18245925331.2396,19136194848.6534
LBN,Middle East & North Africa,Upper middle income,Lebanon,53140638269.1211,54961275741.5589,51991634491.6345,33383246857.58
LBR,Sub-Saharan Africa,Low income,Liberia,3285455000.0,3264000000.0,3070518100.0,2950000000.0
LBY,Middle East & North Africa,Upper middle income,Libya,37883243650.452,52607888717.9487,52091152228.3425,25418461532.2008
LCA,Latin America & Caribbean,Upper middle income,St. Lucia,1999090407.4074101,2065875074.07407,2122450629.62963,1703364240.74074
LIE,Europe & Central Asia,High income,Liechtenstein,6474256118.61481,6839145106.86164,,
LKA,South Asia,Lower middle income,Sri Lanka,87421762728.6293,87954272082.1068,83975584254.4032,80706600228.6499
LSO,Sub-Saharan Africa,Lower middle income,Lesotho,2306843528.52853,2514146887.91664,2366213068.57507,1844510137.67817
LTU,Europe & Central Asia,High income,Lithuania,47640770634.427,53696648755.4347,54639938780.2352,55887271833.0025
LUX,Europe & Central Asia,High income,Luxembourg,64023412339.7075,70885325883.0941,71104919108.1411,73263982103.0119
LVA,Europe & Central Asia,High income,Latvia,30383528686.2906,34399206589.8596,34055464655.3254,33505185228.7067
MAC,East Asia & Pacific,High income,"Macao SAR, China",50456765512.0857,55302446577.8879,55153707948.7021,
MAF,Latin America & Caribbean,High income,St. Martin (French part),,,,
MAR,Middle East & North Africa,Lower middle income,Morocco,109682728023.112,118096227400.092,119700325461.938,112870591694.044
MCO,Europe & Central Asia,High income,Monaco,6431314957.07185,7194024563.060941,7423709839.9194,
MDA,Europe & Central Asia,Upper middle income,Moldova,9669759987.026329,11456728401.3069,11968699005.9801,11914040905.2626
MDG,Sub-Saharan Africa,Low income,Madagascar,13176313233.1978,13614412550.8722,14191911512.041,13720634105.403
MDV,South Asia,Upper middle income,Maldives,4754352303.8929,5299773143.69623,5642179170.45898,4030203166.7748203
MEX,Latin America & Caribbean,Upper middle income,Mexico,1158913035796.37,1222348807283.2,1268870527160.03,1076163316174.94
MHL,East Asia & Pacific,Upper middle income,Marshall Islands,213204100.0,221588900.0,239462200.0,
MKD,Europe & Central Asia,Upper middle income,North Macedonia,11310265324.7941,12679934731.3891,12547086168.4896,12266949805.1436
MLI,Sub-Saharan Africa,Low income,Mali,15365714371.3316,17070866299.0945,17281815733.9596,17393761397.0805
MLT,Middle East & North Africa,High income,Malta,13221298307.8894,14864712990.1631,15215714309.0974,14647384607.603998
MMR,East Asia & Pacific,Lower middle income,Myanmar,67144725830.5753,68697759361.230995,79844294296.0647,76185586096.7974
MNE,Europe & Central Asia,Upper middle income,Montenegro,4856632399.45775,5506767831.83751,5542674764.89028,4778582336.18234
MNG,East Asia & Pacific,Lower middle income,Mongolia,11425755279.5395,13108769495.7472,13996719329.4236,13137128659.478998
MNP,East Asia & Pacific,High income,Northern Mariana Islands,1560000000.0,1302000000.0,1182000000.0,
MOZ,Sub-Saharan Africa,Low income,Mozambique,13219084261.3664,14845870050.7092,15291448211.603,14021421105.9078
MRT,Sub-Saharan Africa,Lower middle income,Mauritania,6757333550.279329,7050987978.120629,7600650037.8463,7778525642.92883
MUS,Sub-Saharan Africa,Upper middle income,Mauritius,13259348213.99,14181930162.4161,14046337854.8466,10914065306.2423
MWI,Sub-Saharan Africa,Low income,Malawi,8787570920.44408,9712994564.91596,10862613621.906,11961848552.5977
MYS,East Asia & Pacific,Upper middle income,Malaysia,319112136545.438,358715057123.739,364681367531.68396,336664444247.042
NAM,Sub-Saharan Africa,Upper middle income,Namibia,12895153157.3463,13681065175.4861,12565772084.7441,10699926682.6513
NCL,East Asia & Pacific,High income,New Caledonia,,,,
NER,Sub-Saharan Africa,Low income,Niger,11189541083.3975,12846952856.8458,12911689659.351002,13678234008.4714
NGA,Sub-Saharan Africa,Lower middle income,Nigeria,375746469538.666,397190484464.308,448120428858.769,432293776262.39795
NIC,Latin America & Caribbean,Lower middle income,Nicaragua,13785909906.1925,13025208219.7685,12611218627.0632,12621476263.8278
NLD,Europe & Central Asia,High income,Netherlands,831809944960.879,913597086062.5991,907050863145.097,912242335119.0691
NOR,Europe & Central Asia,High income,Norway,398393955268.99,436999692591.454,405510000000.0,362008956544.827
NPL,South Asia,Lower middle income,Nepal,28971589213.134,33111525182.7133,34186180694.9285,33657175561.329
NRU,East Asia & Pacific,High income,Nauru,109585941.62455699,124021393.69041201,118223430.12444599,
NZL,East Asia & Pacific,High income,New Zealand,206950600690.395,212225726657.86398,209127454522.901,212482013605.047
OMN,Middle East & North Africa,High income,Oman,70585606843.7797,79788768968.949,76331518668.5771,
PAK,South Asia,Lower middle income,Pakistan,304567253219.097,314567541558.339,278221906022.841,263686552686.208
PAN,Latin America & Caribbean,Upper middle income,Panama,62202700000.0,64928300000.0,66787900000.0,52938100000.0
PER,Latin America & Caribbean,Upper middle income,Peru,211007207483.515,222574697255.522,228470919605.66898,202014363787.233
PHL,East Asia & Pacific,Lower middle income,Philippines,328480867142.69,346842094174.513,376823278560.849,361489354350.0
PLW,East Asia & Pacific,High income,Palau,286106800.0,280435700.0,268354900.0,
PNG,East Asia & Pacific,Lower middle income,Papua New Guinea,22742613553.6879,24109509852.7402,24829107011.0701,23591523025.2864
POL,Europe & Central Asia,High income,Poland,526508877305.32104,587408980271.71,595862086928.211,594164690894.936
PRI,Latin America & Caribbean,High income,Puerto Rico,103445500000.0,100925000000.0,104914600000.0,103138300000.0
PRK,East Asia & Pacific,Low income,"Korea, Dem. People's Rep.",,,,
PRT,Europe & Central Asia,High income,Portugal,220811110492.149,242194788533.537,239510770948.274,231255587276.74103
PRY,Latin America & Caribbean,Upper middle income,Paraguay,38997129473.5558,40225448340.6322,37906944074.6128,35304238230.1132
PSE,Middle East & North Africa,Lower middle income,West Bank and Gaza,16128000000.0,16276600000.0,17133500000.0,15561300000.0
PYF,East Asia & Pacific,High income,French Polynesia,,,,
QAT,Middle East & North Africa,High income,Qatar,161099122215.307,183334953813.20898,175837550996.185,146373588866.511
ROU,Europe & Central Asia,Upper middle income,Romania,211695422578.655,241457403085.042,249696854574.19897,248715551366.635
RUS,Europe & Central Asia,Upper middle income,Russian Federation,1574199387070.9,1657328865709.99,1687448525466.61,1483497784867.6
RWA,Sub-Saharan Africa,Low income,Rwanda,9253098954.27769,9640280084.19572,10355974217.3735,10333991891.7032
SAU,Middle East & North Africa,High income,Saudi Arabia,688586244293.333,786521831573.333,792966838160.0,700117873249.269
SDN,Sub-Saharan Africa,Low income,Sudan,45017179069.0973,34522586970.0018,32250448249.4595,26110829190.4008
SEN,Sub-Saharan Africa,Lower middle income,Senegal,20996564751.5994,23116699808.1723,23306213742.3602,24910904235.857002
SGP,East Asia & Pacific,High income,Singapore,343337750742.27,375981539145.90704,374386306993.109,339998477929.985
SLB,East Asia & Pacific,Lower middle income,Solomon Islands,1483758906.6105402,1574599182.64697,1570215577.36071,1551245525.6045
SLE,Sub-Saharan Africa,Low income,Sierra Leone,3739577973.2394295,4085114794.22324,4121733705.29165,3865018882.89755
SLV,Latin America & Caribbean,Lower middle income,El Salvador,24979200000.0,26020850000.0,26896660000.0,24638720000.0
SMR,Europe & Central Asia,High income,San Marino,1528630707.49794,1655300872.5342698,1616369645.99635,
SOM,Sub-Saharan Africa,Low income,Somalia,4508845348.32757,4720727283.20485,4942319040.69822,4917607582.22895
SRB,Europe & Central Asia,Upper middle income,Serbia,44179055279.8887,50640650221.4622,51475016532.1293,52960134078.6888
SSD,Sub-Saharan Africa,Low income,South Sudan,,,,
STP,Sub-Saharan Africa,Lower middle income,São Tomé and Principe,375614126.193877,412253809.72879905,427425039.684339,472914469.91933
SUR,Latin America & Caribbean,Upper middle income,Suriname,3591623596.0308204,3996247906.19765,4221373022.25798,3807922874.4830604
SVK,Europe & Central Asia,High income,Slovak Republic,95209466459.44,105474651206.555,105119160234.11699,104574146248.364
SVN,Europe & Central Asia,High income,Slovenia,48466592281.6155,54135187443.8136,54174227308.8862,52880473699.8803
SWE,Europe & Central Asia,High income,Sweden,541018749769.09705,555455371487.089,531283304459.66705,537609865719.019
SWZ,Sub-Saharan Africa,Lower middle income,Eswatini,4402972999.534861,4665424249.061561,4471598726.6436,3962493092.9930797
SXM,Latin America & Caribbean,High income,Sint Maarten (Dutch part),1191620111.7318401,1185474860.3352,,
SYC,Sub-Saharan Africa,High income,Seychelles,1524486800.36049,1586008999.74841,1581380268.64289,1124937500.0
SYR,Middle East & North Africa,Low income,Syrian Arab Republic,,,,
TCA,Latin America & Caribbean,High income,Turks and Caicos Islands,1022365000.0,1113178000.0,1197415000.0,924583000.0
TCD,Sub-Saharan Africa,Low income,Chad,10000395242.1457,11239167048.4916,11314951342.7807,10093118570.2918
TGO,Sub-Saharan Africa,Low income,Togo,6395472574.41445,7112200725.00232,7220395247.7424,7574635241.301909
THA,East Asia & Pacific,Upper middle income,Thailand,456356961443.497,506611070188.36206,544263968873.601,501794961925.24396
TJK,Europe & Central Asia,Lower middle income,Tajikistan,7536439875.083341,7765014424.3377905,8300784856.879041,8194150301.785521
TKM,Europe & Central Asia,Upper middle income,Turkmenistan,37926285714.2857,40765428571.4286,45231428571.4286,
TLS,East Asia & Pacific,Lower middle income,Timor-Leste,1599338100.0,1559894900.0,2017924900.0,1821000000.0
TON,East Asia & Pacific,Upper middle income,Tonga,460379144.989821,489235527.395387,512350059.421629,
TTO,Latin America & Caribbean,High income,Trinidad and Tobago,22385426653.883,23679919654.9891,23208326547.5327,21529824769.2969
TUN,Middle East & North Africa,Lower middle income,Tunisia,39802554352.3188,39770478673.1648,39195716330.4253,39235672868.2722
TUR,Europe & Central Asia,Upper middle income,Turkey,858996263095.8579,778377023568.884,761428183369.1709,720101212394.114
TUV,East Asia & Pacific,Upper middle income,Tuvalu,40619251.992642604,42588164.973102205,47271463.3298575,48855550.2030142
TZA,Sub-Saharan Africa,Lower middle income,Tanzania,53320625958.5628,57003713748.2316,61136873747.3324,62409748426.5824
UGA,Sub-Saharan Africa,Low income,Uganda,30744473839.7437,32912338571.3403,35170037380.863,37372032557.5944
UKR,Europe & Central Asia,Lower middle income,Ukraine,112190355158.17801,130901858421.72,153929501862.341,155582008717.426
URY,Latin America & Caribbean,High income,Uruguay,64233966861.2518,64515038268.1373,61231149880.5857,53628827440.3582
USA,North America,High income,United States,19542979183000.0,20611860934000.0,21433224697000.0,20936600000000.0
UZB,Europe & Central Asia,Lower middle income,Uzbekistan,59159945320.5667,50392607758.2324,57726542784.9204,57707189945.4214
VCT,Latin America & Caribbean,Upper middle income,St. Vincent and the Grenadines,792177777.777778,811300000.0,824718518.518518,809681481.481481
VEN,Latin America & Caribbean,,"Venezuela, RB",,,,
VGB,Latin America & Caribbean,High income,British Virgin Islands,,,,
VIR,Latin America & Caribbean,High income,Virgin Islands (U.S.),3893000000.0,3984000000.0,,
VNM,East Asia & Pacific,Lower middle income,Vietnam,223779865815.183,245213686369.15698,261921244843.172,271158442059.082
VUT,East Asia & Pacific,Lower middle income,Vanuatu,880043553.7484419,914727908.137793,930337960.037478,854793640.1456059
WSM,East Asia & Pacific,Lower middle income,Samoa,832153612.557186,821496064.5261849,852250190.985485,807027244.4213799
XKX,Europe & Central Asia,Upper middle income,Kosovo,7245707184.816991,7942961738.308929,7953156068.0698595,7611402165.24217
YEM,Middle East & North Africa,Low income,"Yemen, Rep.",26736138944.5558,23486269598.9858,,
ZAF,Sub-Saharan Africa,Upper middle income,South Africa,349554116683.818,368288939768.322,351431649241.43896,301923639269.552
ZMB,Sub-Saharan Africa,Lower middle income,Zambia,25873601260.8353,26311637646.6539,23308688906.1288,19320053859.279
ZWE,Sub-Saharan Africa,Lower middle income,Zimbabwe,19015327919.1087,19523622341.6133,16932434838.6928,16768513442.6415
